0.005293578,9.47E-05,,,
0.000102057,7.52E-05,,,
7.64E-05,5.98E-05,,,
6.68E-05,5.98E-05,,,
6.37E-05,5.77E-05,,,
6.28E-05,5.51E-05,,,
6.25E-05,5.49E-05,,,
6.24E-05,5.69E-05,,,
6.24E-05,5.38E-05,,,
6.21E-05,5.34E-05,,,
6.20E-05,5.45E-05,,,
6.20E-05,5.36E-05,,,
6.19E-05,5.41E-05,,,
6.19E-05,5.38E-05,,,
6.19E-05,5.32E-05,,,
6.18E-05,5.32E-05,,,
6.18E-05,5.32E-05,,,
6.17E-05,5.32E-05,,,
6.18E-05,5.34E-05,,,
6.17E-05,5.32E-05,,,
6.16E-05,5.35E-05,,,
6.16E-05,5.54E-05,,,
6.15E-05,5.37E-05,,,
6.15E-05,5.35E-05,,,
6.15E-05,5.33E-05,,,
,,,,
,,,,
